Date,Adj Close
1/3/2000,101.6900024
1/4/2000,103.1399994
1/5/2000,104.0899963
1/6/2000,105.2300034
1/7/2000,105.3300018
1/10/2000,105.1600037
1/11/2000,106.0199966
1/12/2000,105.7099991
1/13/2000,106.0199966
1/14/2000,105.8799973
1/17/2000,104.8899994
1/18/2000,105.6600037
1/19/2000,105.2600021
1/20/2000,105.3099976
1/21/2000,104.7200012
1/24/2000,105.6500015
1/25/2000,105.8700027
1/26/2000,105.5800018
1/27/2000,104.9899979
1/28/2000,107.0599976
1/31/2000,107.1999969
2/1/2000,107.7399979
2/2/2000,108.0999985
2/3/2000,107.4499969
2/4/2000,107.1800003
2/7/2000,108.9100037
2/8/2000,109.4000015
2/9/2000,108.7600021
2/10/2000,109.1100006
2/11/2000,108.8000031
2/14/2000,108.8300018
2/15/2000,109.0699997
2/16/2000,109.3499985
2/17/2000,110.4100037
2/18/2000,110.8499985
2/21/2000,111.25
2/22/2000,110.6800003
2/23/2000,111.25
2/24/2000,111.3000031
2/25/2000,110.1500015
2/28/2000,109.6999969
2/29/2000,110.1900024
3/1/2000,106.9400024
3/2/2000,107.8000031
3/3/2000,107.6800003
3/6/2000,107.4199982
3/7/2000,106.1800003
3/8/2000,107.1699982
3/9/2000,106.5100021
3/10/2000,106.2200012
3/13/2000,105.6900024
3/14/2000,105.1100006
3/15/2000,105.6200027
3/16/2000,105.6399994
3/17/2000,106.6600037
3/20/2000,106.3600006
3/21/2000,106.6999969
3/22/2000,107.0699997
3/23/2000,107.2799988
3/24/2000,106.9899979
3/27/2000,106.6999969
3/28/2000,105.8199997
3/29/2000,105.7099991
3/30/2000,105.6399994
3/31/2000,102.9599991
4/3/2000,104.9899979
4/4/2000,105.2099991
4/5/2000,104.8199997
4/6/2000,104.6900024
4/7/2000,105.4499969
4/10/2000,106.4599991
4/11/2000,106.8000031
4/12/2000,105.75
4/13/2000,105.7900009
4/14/2000,104.7600021
4/17/2000,104.5899963
4/18/2000,104.6600037
4/19/2000,104.8499985
4/20/2000,105.7099991
4/21/2000,105.8000031
4/24/2000,105.6900024
4/25/2000,106.1299973
4/26/2000,106.1399994
4/27/2000,106.3799973
4/28/2000,108.1500015
5/1/2000,108.6299973
5/2/2000,108.4499969
5/3/2000,108.9700012
5/4/2000,108
5/5/2000,108.5800018
5/8/2000,109.1500015
5/9/2000,109.1100006
5/10/2000,109.3499985
5/11/2000,108.3799973
5/12/2000,108.3199997
5/15/2000,109.1600037
5/16/2000,109.7300034
5/17/2000,108.9100037
5/18/2000,108.4499969
5/19/2000,106.9100037
5/22/2000,107.1800003
5/23/2000,106.4599991
5/24/2000,107.6600037
5/25/2000,107.3799973
5/26/2000,107.1100006
5/29/2000,106.9100037
5/30/2000,106.4800034
5/31/2000,107.6299973
6/1/2000,108.5
6/2/2000,107.9499969
6/5/2000,107.4100037
6/6/2000,105.8499985
6/7/2000,105.5800018
6/8/2000,105.9000015
6/9/2000,106.8499985
6/12/2000,106.9000015
6/13/2000,106.8000031
6/14/2000,106.5699997
6/15/2000,106.4100037
6/16/2000,106.3499985
6/19/2000,105.8499985
6/20/2000,105.4000015
6/21/2000,105.5699997
6/22/2000,104.5299988
6/23/2000,104.6100006
6/26/2000,105.5500031
6/27/2000,105.3700027
6/28/2000,105.3799973
6/29/2000,105.2099991
6/30/2000,106.0100021
7/3/2000,105.7799988
7/4/2000,106.0999985
7/5/2000,106.9300003
7/6/2000,107.3300018
7/7/2000,107.8799973
7/10/2000,106.9199982
7/11/2000,107.0699997
7/12/2000,108.1299973
7/13/2000,108.0500031
7/14/2000,107.8099976
7/17/2000,107.9599991
7/18/2000,108.2200012
7/19/2000,108.1500015
7/20/2000,107.5
7/21/2000,108.9700012
7/24/2000,108.5699997
7/25/2000,109.1200027
7/26/2000,109.1100006
7/27/2000,109.1999969
7/28/2000,109.6299973
7/31/2000,109.3300018
8/1/2000,109.2300034
8/2/2000,108.6800003
8/3/2000,108.3300018
8/4/2000,108.5800018
8/7/2000,109.0100021
8/8/2000,108.5699997
8/9/2000,107.9199982
8/10/2000,107.6999969
8/11/2000,108.4599991
8/14/2000,109.4300003
8/15/2000,109.0299988
8/16/2000,108.4000015
8/17/2000,108.5400009
8/18/2000,108.2699966
8/21/2000,108.6399994
8/22/2000,108.3000031
8/23/2000,106.9800034
8/24/2000,106.9899979
8/25/2000,106.8000031
8/28/2000,106.5899963
8/29/2000,106.1299973
8/30/2000,106.6100006
8/31/2000,106.6699982
9/1/2000,105.9499969
9/4/2000,106.2099991
9/5/2000,105.8600006
9/6/2000,105.9300003
9/7/2000,105.1399994
9/8/2000,106.1100006
9/11/2000,106.0899963
9/12/2000,106.9199982
9/13/2000,107.0599976
9/14/2000,107.4100037
9/15/2000,107.2600021
9/18/2000,106.8899994
9/19/2000,106.9499969
9/20/2000,106.5999985
9/21/2000,106.6399994
9/22/2000,108
9/25/2000,107.6500015
9/26/2000,107.4700012
9/27/2000,107.2300034
9/28/2000,107.6500015
9/29/2000,108.1299973
10/2/2000,108.7300034
10/3/2000,108.8899994
10/4/2000,109.1900024
10/5/2000,109.0800018
10/6/2000,108.7300034
10/9/2000,108.7600021
10/10/2000,107.7200012
10/11/2000,107.7399979
10/12/2000,107.75
10/13/2000,107.6999969
10/16/2000,108.0599976
10/17/2000,107.9100037
10/18/2000,107.6600037
10/19/2000,108.3300018
10/20/2000,108.8300018
10/23/2000,108.3099976
10/24/2000,107.9400024
10/25/2000,108.2099991
10/26/2000,108.2399979
10/27/2000,108.5299988
10/30/2000,108.9599991
10/31/2000,108.7900009
11/1/2000,108.25
11/2/2000,108.1500015
11/3/2000,106.9499969
11/6/2000,107.3600006
11/7/2000,107.0599976
11/8/2000,107.2300034
11/9/2000,107.5800018
11/10/2000,107.8300018
11/13/2000,107.5400009
11/14/2000,108.1600037
11/15/2000,108.7600021
11/16/2000,108.8399963
11/17/2000,108.7799988
11/20/2000,109.6900024
11/21/2000,109.9199982
11/22/2000,110.1600037
11/23/2000,110.3499985
11/24/2000,111.2300034
11/27/2000,110.5699997
11/28/2000,110.1699982
11/29/2000,111.3199997
11/30/2000,110.3700027
12/1/2000,111.1900024
12/4/2000,111.0599976
12/5/2000,110.7399979
12/6/2000,110.1600037
12/7/2000,110.5400009
12/8/2000,110.9000015
12/11/2000,110.7200012
12/12/2000,111.5699997
12/13/2000,112.3600006
12/14/2000,112.1299973
12/15/2000,112.4199982
12/18/2000,112.1200027
12/19/2000,112.6500015
12/20/2000,112.8899994
12/21/2000,112.1100006
12/22/2000,112.8000031
12/25/2000,113.0199966
12/26/2000,113.7300034
12/27/2000,114.2600021
12/28/2000,114.5899963
12/29/2000,114.3799973
1/1/2001,114.5699997
1/2/2001,114.4000015
1/3/2001,113.8399963
1/4/2001,116.0899963
1/5/2001,116.4499969
1/8/2001,116.0999985
1/9/2001,117.0699997
1/10/2001,116.4499969
1/11/2001,117.9100037
1/12/2001,118.4700012
1/15/2001,119.1100006
1/16/2001,117.7099991
1/17/2001,119.1699982
1/18/2001,117.9000015
1/19/2001,117.1299973
1/22/2001,116.4599991
1/23/2001,116.6100006
1/24/2001,117.9000015
1/25/2001,116.6200027
1/26/2001,117.3199997
1/29/2001,116.7399979
1/30/2001,115.6500015
1/31/2001,116.6800003
2/1/2001,115.4199982
2/2/2001,115.6299973
2/5/2001,114.7099991
2/6/2001,114.7399979
2/7/2001,116.1600037
2/8/2001,116.7099991
2/9/2001,117.5
2/12/2001,117.3099976
2/13/2001,116.5999985
2/14/2001,116.1900024
2/15/2001,115.6200027
2/16/2001,115.7200012
2/19/2001,116.0800018
2/20/2001,115.6399994
2/21/2001,116.3700027
2/22/2001,117.0100021
2/23/2001,115.75
2/26/2001,116.4800034
2/27/2001,116.3600006
2/28/2001,117.3899994
3/1/2001,117.5
3/2/2001,119.0500031
3/5/2001,118.9199982
3/6/2001,118.6999969
3/7/2001,119.5199966
3/8/2001,119.8199997
3/9/2001,119.5400009
3/12/2001,120.4700012
3/13/2001,119.6100006
3/14/2001,120.8199997
3/15/2001,121.9899979
3/16/2001,122.9199982
3/19/2001,122.8000031
3/20/2001,122.1999969
3/21/2001,123.0199966
3/22/2001,123.7600021
3/23/2001,122.8300018
3/26/2001,122.6600037
3/27/2001,122.1600037
3/28/2001,122.2699966
3/29/2001,123.6800003
3/30/2001,126.2300034
4/2/2001,126.6399994
4/3/2001,125.5299988
4/4/2001,125.4700012
4/5/2001,124.2600021
4/6/2001,123.7300034
4/9/2001,125.2799988
4/10/2001,124.4199982
4/11/2001,124.7399979
4/12/2001,123.5
4/13/2001,123.5
4/16/2001,124.5999985
4/17/2001,123.3799973
4/18/2001,122
4/19/2001,121.2399979
4/20/2001,122.3300018
4/23/2001,121.1800003
4/24/2001,122.3000031
4/25/2001,122.0899963
4/26/2001,123.1699982
4/27/2001,124.0199966
4/30/2001,123.3799973
5/1/2001,122.1100006
5/2/2001,121.5299988
5/3/2001,121.3300018
5/4/2001,121.2799988
5/7/2001,120.8700027
5/8/2001,121.2799988
5/9/2001,122.3099976
5/10/2001,122.5199966
5/11/2001,122.3700027
5/14/2001,123.1999969
5/15/2001,123.1999969
5/16/2001,123.2300034
5/17/2001,122.5999985
5/18/2001,123.5100021
5/21/2001,122.6699982
5/22/2001,122.7200012
5/23/2001,120.1999969
5/24/2001,119.9700012
5/25/2001,120.5899963
5/28/2001,121.2600021
5/29/2001,120.0599976
5/30/2001,120.4400024
5/31/2001,119.2300034
6/1/2001,119.2099991
6/4/2001,119.1999969
6/5/2001,120.1800003
6/6/2001,120
6/7/2001,120.3300018
6/8/2001,120.8499985
6/11/2001,121.8300018
6/12/2001,121.5800018
6/13/2001,122.0199966
6/14/2001,121.3000031
6/15/2001,122.8700027
6/18/2001,123.4199982
6/19/2001,122.8000031
6/20/2001,123.8700027
6/21/2001,124.5699997
6/22/2001,124.4599991
6/25/2001,123.9000015
6/26/2001,123.7799988
6/27/2001,124.2200012
6/28/2001,124.8499985
6/29/2001,124.5
7/2/2001,123.9700012
7/3/2001,124.3499985
7/4/2001,124.4300003
7/5/2001,125.5599976
7/6/2001,125.8199997
7/9/2001,125.2600021
7/10/2001,125.2699966
7/11/2001,124.2699966
7/12/2001,123.9300003
7/13/2001,124.8600006
7/16/2001,125.5
7/17/2001,124.8000031
7/18/2001,124.0800018
7/19/2001,123.3799973
